"id","created","tax_zone","item_key","tax_code","tax_rate","valid_from","valid_to"
3,"2020-07-30 04:08:29.874026+00","NZ","datum-props-in","GST",0.15,"2007-12-31 11:00:00+00",
4,"2020-07-30 04:08:29.874026+00","NZ","datum-out","GST",0.15,"2007-12-31 11:00:00+00",
5,"2020-07-30 04:08:29.874026+00","NZ","datum-days-stored","GST",0.15,"2007-12-31 11:00:00+00",
58,"2022-09-28 06:00:41.05342+00","NZ","ocpp-chargers","GST",0.15,"2022-09-29 11:00:00+00",
59,"2022-09-28 06:00:41.05342+00","NZ","oscp-cap-groups","GST",0.15,"2022-09-29 11:00:00+00",
61,"2024-01-30 20:17:50.899164+00","NZ","oscp-cap","GST",0.15,"2024-01-30 11:00:00+00",
62,"2024-01-30 21:55:08.200531+00","NZ","instr-issued","GST",0.15,"2023-07-30 12:00:00+00",
63,"2024-01-30 21:55:08.200531+00","NZ","dnp3-data-points","GST",0.15,"2023-07-30 12:00:00+00",
65,"2024-08-25 23:05:37.660605+00","NZ","flux-data-in","GST",0.15,"2024-07-30 12:00:00+00",
66,"2024-08-25 23:05:37.660605+00","NZ","flux-data-out","GST",0.15,"2024-07-30 12:00:00+00",
67,"2024-08-25 23:05:37.660605+00","NZ","oauth-client-creds","GST",0.15,"2024-07-30 12:00:00+00",
